iter	Passed	Remaining
0	138	6946215
1	229	5729769
2	324	5415761
3	413	5169657
4	501	5016435
5	591	4924430
6	681	4870143
7	766	4790704
8	860	4778855
9	946	4731165
10	1030	4682973
11	1114	4642139
12	1196	4601324
13	1276	4558572
14	1366	4552041
15	1447	4521693
16	1526	4488928
17	1612	4478181
18	1697	4464627
19	1777	4442840
20	1861	4429422
21	1956	4444718
22	2041	4436310
23	2125	4426324
24	2209	4416781
25	2294	4409614
26	2376	4398629
27	2477	4420827
28	2561	4413703
29	2648	4410792
30	2734	4408522
31	2815	4396709
32	2913	4411391
33	3016	4432848
34	3131	4470643
35	3234	4489613
36	3324	4488762
37	3422	4499405
38	3539	4534354
39	3630	4534607
40	3718	4531337
41	3802	4523042
42	3888	4517274
43	3965	4502336
44	4076	4525886
45	4154	4511319
46	4241	4508470
47	4324	4500788
48	4407	4493084
49	4486	4482472
50	4591	4496541
51	4669	4485278
52	4753	4479659
53	4837	4474388
54	4924	4472287
55	5008	4466433
56	5112	4479235
57	5199	4477454
58	5279	4469015
59	5360	4461612
60	5442	4455518
61	5526	4451457
62	5615	4451279
63	5698	4446626
64	5777	4438175
65	5859	4432882
66	5942	4428498
67	6026	4425399
68	6110	4421658
69	6197	4420254
70	6276	4413970
71	6354	4406596
72	6427	4396231
73	6504	4388370
74	6583	4382740
75	6666	4379406
76	6746	4374150
77	6819	4364920
78	6898	4359022
79	6973	4351234
80	7050	4345300
81	7129	4340326
82	7216	4340354
83	7293	4333995
84	7368	4326762
85	7443	4319963
86	7524	4316926
87	7600	4310863
88	7673	4303474
89	7770	4308932
90	7850	4305818
91	7943	4309257
92	8024	4306236
93	8100	4300489
94	8174	4294456
95	8260	4294210
96	8346	4293827
97	8424	4289536
98	8496	4282698
99	8582	4282676
100	8656	4276958
101	8734	4272681
102	8821	4273229
103	8897	4268931
104	8972	4263794
105	9051	4260308
106	9126	4255691
107	9199	4249992
108	9282	4248793
109	9361	4246045
110	9442	4244110
111	9520	4240542
112	9598	4237337
113	9669	4231375
114	9744	4226812
115	9820	4223353
